School_code,School_name,Postcode,School_subtype,ICSEA_value,LBOTE_pct,Indigenous_pct,FOEI_Value,LGA,SA4,AECG_region,Local_health_district,Latitude,Longitude,Cluster
8227,Merrylands High School,2160,Year 7 to Year 12,925.0,87.0,3.0,156.0,Cumberland,Sydney - Parramatta,Metropolitan South West,Western Sydney,-33.840847,150.96957,2
8250,Sir Joseph Banks High School,2212,Year 7 to Year 12,951.0,80.0,3.0,139.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.939698,151.020907,2
8262,Ingleburn High School,2565,Year 7 to Year 12,949.0,54.0,10.0,129.0,Campbelltown (NSW),Sydney - Outer South West,Metropolitan South West,South Western Sydney,-34.005121,150.87152,2
8286,Mount Annan High School,2567,Year 7 to Year 12,980.0,33.0,7.0,110.0,Camden,Sydney - Outer South West,Dharawal,South Western Sydney,-34.057371,150.760739,1
8377,Picnic Point High School,2213,Year 7 to Year 12,1018.0,38.0,4.0,89.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.964344,151.011457,0
8398,Condell Park High School,2200,Year 7 to Year 12,942.0,93.0,15.594132029339853,152.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.923579,151.001755,2
8424,Holroyd High School,2145,Year 7 to Year 12,934.0,88.0,2.0,147.0,Cumberland,Sydney - Parramatta,Metropolitan South West,Western Sydney,-33.832906,150.951137,2
8436,Granville South Creative and Performing Arts High School,2161,Year 7 to Year 12,865.0,92.0,2.0,193.0,Cumberland,Sydney - Parramatta,Metropolitan South West,Western Sydney,-33.860626,150.997598,2
8531,St Johns Park High School,2176,Year 7 to Year 12,931.0,91.0,2.0,152.0,Fairfield,Sydney - South West,Metropolitan South West,South Western Sydney,-33.873073,150.892002,2
8589,Thomas Reddall High School,2560,Year 7 to Year 12,908.0,34.0,16.0,151.0,Campbelltown (NSW),Sydney - Outer South West,Dharawal,South Western Sydney,-34.082029,150.801488,1
8804,Belmore Boys High School,2192,Year 7 to Year 12,948.0,98.0,15.594132029339853,141.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,Sydney,-33.910796,151.085575,2
8811,Granville Boys High School,2142,Year 7 to Year 12,950.0,97.0,1.0,140.0,Cumberland,Sydney - Parramatta,Metropolitan South West,Western Sydney,-33.834618,151.008817,2
8854,Birrong Girls High School,2143,Year 7 to Year 12,956.0,95.0,1.0,144.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.88948,151.025708,2
